gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
3358883552	a76afee5-56f7-4ccd-a359-c7c55956d9fc	AGROSAVIA:BGMA:B40500074	Bacteria	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus			GENUS	Staphylococcus Rosenbach, 1884	Staphylococcus		CO	San francisco	Meta	PRESENT	1	488f6b87-5688-4c9a-928c-2d5355054b01	3.827834	-73.690164							2013-12-01	1	12	2013	7945561		LIVING_SPECIMEN	Corporación Colombiana de Investigación Agropecuaria - AGROSAVIA	BGMA	B40500074				CC_BY_4_0		AGROSAVIA			2025-11-25T14:16:21.374Z		INSTITUTION_MATCH_FUZZY
3358883551	a76afee5-56f7-4ccd-a359-c7c55956d9fc	AGROSAVIA:BGMA:B40500198	Bacteria	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus			GENUS	Staphylococcus Rosenbach, 1884	Staphylococcus		CO	San José	Cundinamarca	PRESENT	1	488f6b87-5688-4c9a-928c-2d5355054b01	4.706468	-74.209485							2014-12-01	1	12	2014	7945561		LIVING_SPECIMEN	Corporación Colombiana de Investigación Agropecuaria - AGROSAVIA	BGMA	B40500198				CC_BY_4_0		AGROSAVIA			2025-11-25T14:16:21.372Z		COORDINATE_ROUNDED;INSTITUTION_MATCH_FUZZY
3358883550	a76afee5-56f7-4ccd-a359-c7c55956d9fc	AGROSAVIA:BGMA:B40500077	Bacteria	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus			GENUS	Staphylococcus Rosenbach, 1884	Staphylococcus		CO	Pubenza	Cundinamarca	PRESENT	1	488f6b87-5688-4c9a-928c-2d5355054b01	4.706035	-74.230101							2013-12-01	1	12	2013	7945561		LIVING_SPECIMEN	Corporación Colombiana de Investigación Agropecuaria - AGROSAVIA	BGMA	B40500077				CC_BY_4_0		AGROSAVIA			2025-11-25T14:16:21.370Z		INSTITUTION_MATCH_FUZZY
3358883549	a76afee5-56f7-4ccd-a359-c7c55956d9fc	AGROSAVIA:BGMA:B40500197	Bacteria	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus		SPECIES	Staphylococcus aureus Rosenbach, 1884	Staphylococcus aureus		CO	Botalón	Meta	PRESENT	1	488f6b87-5688-4c9a-928c-2d5355054b01	4.134303	-73.630239							2014-12-01	1	12	2014	3227657	3227657	LIVING_SPECIMEN	Corporación Colombiana de Investigación Agropecuaria - AGROSAVIA	BGMA	B40500197				CC_BY_4_0		AGROSAVIA			2025-11-25T14:16:21.359Z		COORDINATE_ROUNDED;INSTITUTION_MATCH_FUZZY
3358883546	a76afee5-56f7-4ccd-a359-c7c55956d9fc	AGROSAVIA:BGMA:B40500199	Bacteria	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus			GENUS	Staphylococcus Rosenbach, 1884	Staphylococcus		CO	San José	Cundinamarca	PRESENT	1	488f6b87-5688-4c9a-928c-2d5355054b01	4.706468	-74.209485							2014-12-01	1	12	2014	7945561		LIVING_SPECIMEN	Corporación Colombiana de Investigación Agropecuaria - AGROSAVIA	BGMA	B40500199				CC_BY_4_0		AGROSAVIA			2025-11-25T14:16:21.353Z		COORDINATE_ROUNDED;INSTITUTION_MATCH_FUZZY
3358883518	a76afee5-56f7-4ccd-a359-c7c55956d9fc	AGROSAVIA:BGMA:B40500089	Bacteria	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus			GENUS	Staphylococcus Rosenbach, 1884	Staphylococcus		CO	Miraflores	Cundinamarca	PRESENT	1	488f6b87-5688-4c9a-928c-2d5355054b01	5.021476	-73.990955							2013-12-01	1	12	2013	7945561		LIVING_SPECIMEN	Corporación Colombiana de Investigación Agropecuaria - AGROSAVIA	BGMA	B40500089				CC_BY_4_0		AGROSAVIA			2025-11-25T14:16:21.234Z		INSTITUTION_MATCH_FUZZY
3358883423	a76afee5-56f7-4ccd-a359-c7c55956d9fc	AGROSAVIA:BGMA:B40500314	Bacteria	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus			GENUS	Staphylococcus Rosenbach, 1884	Staphylococcus		CO	San José de El Nus	Antioquia	PRESENT	1	488f6b87-5688-4c9a-928c-2d5355054b01	6.49446	-74.84024							2016-10-01	1	10	2016	7945561		LIVING_SPECIMEN	Corporación Colombiana de Investigación Agropecuaria - AGROSAVIA	BGMA	B40500314				CC_BY_4_0		AGROSAVIA			2025-11-25T14:16:20.362Z		INSTITUTION_MATCH_FUZZY
3358883421	a76afee5-56f7-4ccd-a359-c7c55956d9fc	AGROSAVIA:BGMA:B40500316	Bacteria	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus		SPECIES	Staphylococcus aureus Rosenbach, 1884	Staphylococcus aureus		CO	San José de El Nus	Antioquia	PRESENT	1	488f6b87-5688-4c9a-928c-2d5355054b01	6.49446	-74.84024							2016-10-01	1	10	2016	3227657	3227657	LIVING_SPECIMEN	Corporación Colombiana de Investigación Agropecuaria - AGROSAVIA	BGMA	B40500316				CC_BY_4_0		AGROSAVIA			2025-11-25T14:16:20.358Z		INSTITUTION_MATCH_FUZZY
3358883420	a76afee5-56f7-4ccd-a359-c7c55956d9fc	AGROSAVIA:BGMA:B40500315	Bacteria	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus		SPECIES	Staphylococcus aureus Rosenbach, 1884	Staphylococcus aureus		CO	San José de El Nus	Antioquia	PRESENT	1	488f6b87-5688-4c9a-928c-2d5355054b01	6.49446	-74.84024							2016-10-01	1	10	2016	3227657	3227657	LIVING_SPECIMEN	Corporación Colombiana de Investigación Agropecuaria - AGROSAVIA	BGMA	B40500315				CC_BY_4_0		AGROSAVIA			2025-11-25T14:16:20.357Z		INSTITUTION_MATCH_FUZZY
3358883419	a76afee5-56f7-4ccd-a359-c7c55956d9fc	AGROSAVIA:BGMA:B40500318	Bacteria	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus			GENUS	Staphylococcus Rosenbach, 1884	Staphylococcus		CO	San José de El Nus	Antioquia	PRESENT	1	488f6b87-5688-4c9a-928c-2d5355054b01	6.49446	-74.84024							2016-10-01	1	10	2016	7945561		LIVING_SPECIMEN	Corporación Colombiana de Investigación Agropecuaria - AGROSAVIA	BGMA	B40500318				CC_BY_4_0		AGROSAVIA			2025-11-25T14:16:20.356Z		INSTITUTION_MATCH_FUZZY
